Order_ID,Order_Date,Customer_ID,Customer_Age,Gender,Product_Category,Product_Subcategory,Product_ID,Units_Sold, Unit_Price , Discount_Percentage , Total_Sales , COGS , Profit , Shipping_Cost ,Sales_Region,Customer_Satisfaction,Payment_Method,Repeat_Customer
O1108,19/04/2023,C848,60,Male,Clothing,Smartphones,P6783,8, AED136.16 , AED0.11 , AED969.46 , AED602.10 , AED367.36 , AED15.59 ,Asia,3,Credit Card,Yes
O1109,20/04/2023,C437,64,Male,Groceries,Fruits,P8751,4, AED389.47 , AED0.16 ," AED1,308.62 ", AED899.15 , AED409.47 , AED18.67 ,Europe,1,Credit Card,Yes
O1110,21/04/2023,C978,62,Female,Electronics,Laptops,P6628,3, AED198.92 , AED0.18 , AED489.34 , AED298.07 , AED191.28 , AED14.79 ,Asia,1,Cash,No
O1111,22/04/2023,C152,35,Male,Electronics,Fruits,P9328,5, AED258.28 , AED0.24 , AED981.46 , AED672.72 , AED308.75 , AED16.61 ,Europe,5,PayPal,Yes
O1112,23/04/2023,C891,55,Male,Electronics,Fruits,P4360,9, AED429.44 , AED0.10 ," AED3,478.46 "," AED2,974.56 ", AED503.91 , AED10.38 ,North America,4,Cash,No
O1113,24/04/2023,C316,52,Female,Electronics,T-shirts,P4005,6, AED377.48 , AED0.24 ," AED1,721.31 "," AED1,174.02 ", AED547.29 , AED7.75 ,Europe,4,Cash,Yes
O1114,25/04/2023,C863,68,Female,Clothing,T-shirts,P4552,9, AED404.51 , AED0.10 ," AED3,276.53 "," AED2,366.85 ", AED909.68 , AED14.64 ,Europe,3,PayPal,No
O1115,26/04/2023,C287,32,Female,Clothing,T-shirts,P1018,6, AED77.05 , AED0.02 , AED453.05 , AED299.74 , AED153.32 , AED9.92 ,Asia,3,PayPal,Yes
O1116,27/04/2023,C479,42,Male,Electronics,Laptops,P3242,2, AED44.16 , AED0.17 , AED73.31 , AED50.14 , AED23.16 , AED17.90 ,Asia,5,Credit Card,No
O1117,28/04/2023,C592,54,Female,Electronics,Laptops,P7318,5, AED447.77 , AED0.18 ," AED1,835.86 ", AED929.07 , AED906.79 , AED6.84 ,Europe,4,PayPal,Yes
O1118,29/04/2023,C140,45,Female,Electronics,Fruits,P6097,9, AED200.04 , AED0.28 ," AED1,296.26 ", AED795.25 , AED501.01 , AED11.50 ,Asia,1,Cash,Yes
O1119,30/04/2023,C256,27,Male,Clothing,T-shirts,P9640,8, AED151.06 , AED0.22 , AED942.61 , AED635.92 , AED306.70 , AED10.95 ,Asia,2,Cash,Yes
O1120,01/05/2023,C114,56,Female,Electronics,Laptops,P2948,7, AED365.10 , AED0.28 ," AED1,840.10 "," AED1,386.55 ", AED453.55 , AED19.07 ,Asia,5,PayPal,Yes
O1121,02/05/2023,C912,34,Female,Electronics,Smartphones,P6618,1, AED419.84 , AED0.27 , AED306.48 , AED208.41 , AED98.07 , AED7.30 ,Asia,2,Credit Card,No
O1122,03/05/2023,C164,56,Female,Electronics,Fruits,P5236,4, AED432.62 , AED0.18 ," AED1,418.99 ", AED901.24 , AED517.75 , AED5.15 ,Asia,1,Cash,No
O1123,04/05/2023,C956,39,Male,Groceries,Vegetables,P7901,7, AED164.84 , AED0.16 , AED969.26 , AED635.10 , AED334.16 , AED8.57 ,Europe,1,PayPal,Yes
O1124,05/05/2023,C938,43,Male,Electronics,Fruits,P2920,7, AED427.58 , AED0.17 ," AED2,484.24 "," AED1,482.89 "," AED1,001.35 ", AED17.30 ,Asia,2,Credit Card,No
O1125,06/05/2023,C620,61,Male,Groceries,Vegetables,P5188,6, AED30.06 , AED0.29 , AED128.06 , AED111.38 , AED16.67 , AED8.14 ,North America,5,Credit Card,Yes
O1126,07/05/2023,C443,42,Male,Groceries,T-shirts,P1238,8, AED34.33 , AED0.23 , AED211.47 , AED149.87 , AED61.60 , AED8.61 ,Europe,2,Cash,No
O1127,08/05/2023,C228,34,Female,Electronics,Vegetables,P1204,6, AED315.52 , AED0.03 ," AED1,836.33 ", AED928.01 , AED908.31 , AED6.95 ,Europe,5,Cash,Yes
O1128,09/05/2023,C747,30,Male,Groceries,T-shirts,P6552,3, AED40.92 , AED0.23 , AED94.53 , AED48.00 , AED46.53 , AED15.73 ,Europe,5,Credit Card,No
O1129,10/05/2023,C571,37,Male,Electronics,Smartphones,P5927,4, AED169.06 , AED0.05 , AED642.43 , AED571.24 , AED71.19 , AED6.04 ,Asia,3,Credit Card,No
O1130,11/05/2023,C162,42,Female,Clothing,Vegetables,P5390,3, AED339.65 , AED0.13 , AED886.49 , AED521.77 , AED364.72 , AED9.97 ,North America,4,Credit Card,Yes
O1131,12/05/2023,C238,21,Female,Clothing,Fruits,P3687,1, AED175.26 , AED0.06 , AED164.74 , AED135.46 , AED29.28 , AED9.24 ,Asia,4,PayPal,Yes
O1132,13/05/2023,C598,27,Female,Clothing,T-shirts,P5951,5, AED98.00 , AED0.21 , AED387.10 , AED202.57 , AED184.53 , AED13.33 ,Europe,1,Cash,Yes
O1133,14/05/2023,C692,20,Male,Clothing,Fruits,P7160,1, AED147.86 , AED0.26 , AED109.42 , AED95.02 , AED14.39 , AED15.96 ,Europe,3,Credit Card,Yes
O1134,15/05/2023,C491,58,Male,Groceries,Laptops,P6388,1, AED234.21 , AED0.09 , AED213.13 , AED181.11 , AED32.02 , AED12.99 ,Europe,4,Cash,Yes
O1135,16/05/2023,C774,62,Male,Electronics,T-shirts,P6126,2, AED242.94 , AED0.02 , AED476.16 , AED346.85 , AED129.31 , AED18.97 ,Europe,5,Cash,No
O1136,17/05/2023,C518,35,Female,Electronics,Vegetables,P1816,4, AED393.67 , AED0.09 ," AED1,432.96 ", AED721.64 , AED711.32 , AED19.27 ,Asia,5,Cash,Yes
O1137,18/05/2023,C388,64,Female,Electronics,T-shirts,P1192,6, AED377.58 , AED0.20 ," AED1,812.38 "," AED1,093.09 ", AED719.29 , AED10.42 ,North America,2,Credit Card,No
O1138,19/05/2023,C478,53,Male,Clothing,Fruits,P2776,8, AED233.84 , AED0.10 ," AED1,683.65 "," AED1,115.80 ", AED567.85 , AED16.67 ,North America,2,PayPal,Yes
O1139,20/05/2023,C872,64,Female,Clothing,Smartphones,P4645,3, AED424.38 , AED0.08 ," AED1,171.29 ", AED801.19 , AED370.10 , AED16.08 ,Europe,5,Credit Card,No
